role,permissions
roles/bigquery.dataOwner,bigquery.datasets.create;bigquery.datasets.delete;bigquery.datasets.get;bigquery.datasets.getIamPolicy;bigquery.datasets.setIamPolicy;bigquery.datasets.update;bigquery.datasets.updateTag;bigquery.models.create;bigquery.models.delete;bigquery.models.getData;bigquery.models.getMetadata;bigquery.models.list;bigquery.models.updateData;bigquery.models.updateMetadata;bigquery.models.updateTag;bigquery.routines.create;bigquery.routines.delete;bigquery.routines.get;bigquery.routines.list;bigquery.routines.update;bigquery.tables.create;bigquery.tables.delete;bigquery.tables.export;bigquery.tables.get;bigquery.tables.getData;bigquery.tables.list;bigquery.tables.setCategory;bigquery.tables.update;bigquery.tables.updateData;bigquery.tables.updateTag;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquerydatatransfer.serviceAgent,bigquery.jobs.create;iam.serviceAccounts.getAccessToken;logging.logEntries.create;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.dataViewer,bigquery.datasets.get;bigquery.datasets.getIamPolicy;bigquery.models.getData;bigquery.models.getMetadata;bigquery.models.list;bigquery.routines.get;bigquery.routines.list;bigquery.tables.export;bigquery.tables.get;bigquery.tables.getData;bigquery.tables.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.jobUser,bigquery.jobs.create;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.metadataViewer,bigquery.datasets.get;bigquery.datasets.getIamPolicy;bigquery.models.getMetadata;bigquery.models.list;bigquery.routines.get;bigquery.routines.list;bigquery.tables.get;bigquery.tables.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.readSessionUser,bigquery.readsessions.create;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.user,bigquery.config.get;bigquery.datasets.create;bigquery.datasets.get;bigquery.datasets.getIamPolicy;bigquery.jobs.create;bigquery.jobs.list;bigquery.models.list;bigquery.readsessions.create;bigquery.routines.list;bigquery.savedqueries.get;bigquery.savedqueries.list;bigquery.tables.list;bigquery.transfers.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigtable.admin,bigtable.appProfiles.create;bigtable.appProfiles.delete;bigtable.appProfiles.get;bigtable.appProfiles.list;bigtable.appProfiles.update;bigtable.clusters.create;bigtable.clusters.delete;bigtable.clusters.get;bigtable.clusters.list;bigtable.clusters.update;bigtable.instances.create;bigtable.instances.delete;bigtable.instances.get;bigtable.instances.getIamPolicy;bigtable.instances.list;bigtable.instances.setIamPolicy;bigtable.instances.update;bigtable.locations.list;bigtable.tables.checkConsistency;bigtable.tables.create;bigtable.tables.delete;bigtable.tables.generateConsistencyToken;bigtable.tables.get;bigtable.tables.getIamPolicy;bigtable.tables.list;bigtable.tables.mutateRows;bigtable.tables.readRows;bigtable.tables.sampleRowKeys;bigtable.tables.setIamPolicy;bigtable.tables.update;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.timeSeries.list;resourcemanager.projects.get
roles/bigtable.reader,bigtable.appProfiles.get;bigtable.appProfiles.list;bigtable.clusters.get;bigtable.clusters.list;bigtable.instances.get;bigtable.instances.list;bigtable.locations.list;bigtable.tables.checkConsistency;bigtable.tables.generateConsistencyToken;bigtable.tables.get;bigtable.tables.list;bigtable.tables.readRows;bigtable.tables.sampleRowKeys;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.timeSeries.list;resourcemanager.projects.get
roles/bigtable.user,bigtable.appProfiles.get;bigtable.appProfiles.list;bigtable.clusters.get;bigtable.clusters.list;bigtable.instances.get;bigtable.instances.list;bigtable.locations.list;bigtable.tables.checkConsistency;bigtable.tables.generateConsistencyToken;bigtable.tables.get;bigtable.tables.list;bigtable.tables.mutateRows;bigtable.tables.readRows;bigtable.tables.sampleRowKeys;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.timeSeries.list;resourcemanager.projects.get
roles/bigtable.viewer,bigtable.appProfiles.get;bigtable.appProfiles.list;bigtable.clusters.get;bigtable.clusters.list;bigtable.instances.get;bigtable.instances.list;bigtable.locations.list;bigtable.tables.checkConsistency;bigtable.tables.generateConsistencyToken;bigtable.tables.get;bigtable.tables.list;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.timeSeries.list;resourcemanager.projects.get
roles/billing.admin,billing.accounts.close;billing.accounts.get;billing.accounts.getIamPolicy;billing.accounts.getPaymentInfo;billing.accounts.getSpendingInformation;billing.accounts.getUsageExportSpec;billing.accounts.list;billing.accounts.move;billing.accounts.redeemPromotion;billing.accounts.removeFromOrganization;billing.accounts.reopen;billing.accounts.setIamPolicy;billing.accounts.update;billing.accounts.updatePaymentInfo;billing.accounts.updateUsageExportSpec;billing.budgets.create;billing.budgets.delete;billing.budgets.get;billing.budgets.list;billing.budgets.update;billing.credits.list;billing.resourceAssociations.create;billing.resourceAssociations.delete;billing.resourceAssociations.list;billing.subscriptions.create;billing.subscriptions.get;billing.subscriptions.list;billing.subscriptions.update;cloudnotifications.activities.list;logging.logEntries.list;logging.logServiceIndexes.list;logging.logServices.list;logging.logs.list;logging.privateLogEntries.list;resourcemanager.projects.createBillingAssignment;resourcemanager.projects.deleteBillingAssignment
roles/billing.creator,billing.accounts.create;resourcemanager.organizations.get
roles/billing.projectManager,resourcemanager.projects.createBillingAssignment;resourcemanager.projects.deleteBillingAssignment
roles/billing.user,billing.accounts.get;billing.accounts.getIamPolicy;billing.accounts.list;billing.accounts.redeemPromotion;billing.credits.list;billing.resourceAssociations.create
roles/billing.viewer,billing.accounts.get;billing.accounts.getIamPolicy;billing.accounts.getPaymentInfo;billing.accounts.getSpendingInformation;billing.accounts.getUsageExportSpec;billing.accounts.list;billing.budgets.get;billing.budgets.list;billing.credits.list;billing.resourceAssociations.list;billing.subscriptions.get;billing.subscriptions.list
roles/binaryauthorization.attestorsAdmin,binaryauthorization.attestors.create;binaryauthorization.attestors.delete;binaryauthorization.attestors.get;binaryauthorization.attestors.getIamPolicy;binaryauthorization.attestors.list;binaryauthorization.attestors.setIamPolicy;binaryauthorization.attestors.update;binaryauthorization.attestors.verifyImageAttested;resourcemanager.projects.get;resourcemanager.projects.list
roles/binaryauthorization.attestorsEditor,binaryauthorization.attestors.create;binaryauthorization.attestors.delete;binaryauthorization.attestors.get;binaryauthorization.attestors.list;binaryauthorization.attestors.update;binaryauthorization.attestors.verifyImageAttested;resourcemanager.projects.get;resourcemanager.projects.list
roles/binaryauthorization.attestorsVerifier,binaryauthorization.attestors.get;binaryauthorization.attestors.list;binaryauthorization.attestors.verifyImageAttested;resourcemanager.projects.get;resourcemanager.projects.list
roles/binaryauthorization.attestorsViewer,binaryauthorization.attestors.get;binaryauthorization.attestors.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/binaryauthorization.policyAdmin,binaryauthorization.policy.get;binaryauthorization.policy.getIamPolicy;binaryauthorization.policy.setIamPolicy;binaryauthorization.policy.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/binaryauthorization.policyEditor,binaryauthorization.policy.get;binaryauthorization.policy.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/binaryauthorization.policyViewer,binaryauthorization.policy.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/browser,resourcemanager.folders.get;resourcemanager.folders.list;resourcemanager.organizations.get;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list
roles/chat.owner,chat.bots.get;chat.bots.update
roles/chat.reader,chat.bots.get
roles/cloudasset.owner,cloudasset.assets.exportAccessLevel;cloudasset.assets.exportAccessPolicy;cloudasset.assets.exportAllAccessPolicy;cloudasset.assets.exportAppengineApplications;cloudasset.assets.exportAppengineServices;cloudasset.assets.exportAppengineVersions;cloudasset.assets.exportBigqueryDatasets;cloudasset.assets.exportBigqueryTables;cloudasset.assets.exportBigtableCluster;cloudasset.assets.exportBigtableInstance;cloudasset.assets.exportBigtableTable;cloudasset.assets.exportCloudbillingBillingAccounts;cloudasset.assets.exportCloudkmsCryptoKeyVersions;cloudasset.assets.exportCloudkmsCryptoKeys;cloudasset.assets.exportCloudkmsKeyRings;cloudasset.assets.exportCloudresourcemanagerFolders;cloudasset.assets.exportCloudresourcemanagerOrganizations;cloudasset.assets.exportCloudresourcemanagerProjects;cloudasset.assets.exportComputeAddress;cloudasset.assets.exportComputeAutoscalers;cloudasset.assets.exportComputeBackendBuckets;cloudasset.assets.exportComputeBackendServices;cloudasset.assets.exportComputeDisks;cloudasset.assets.exportComputeFirewalls;cloudasset.assets.exportComputeForwardingRules;cloudasset.assets.exportComputeGlobalAddress;cloudasset.assets.exportComputeGlobalForwardingRules;cloudasset.assets.exportComputeHealthChecks;cloudasset.assets.exportComputeHttpHealthChecks;cloudasset.assets.exportComputeHttpsHealthChecks;cloudasset.assets.exportComputeImages;cloudasset.assets.exportComputeInstanceGroupManagers;cloudasset.assets.exportComputeInstanceGroups;cloudasset.assets.exportComputeInstanceTemplates;cloudasset.assets.exportComputeInstances;cloudasset.assets.exportComputeInterconnect;cloudasset.assets.exportComputeInterconnectAttachment;cloudasset.assets.exportComputeLicenses;cloudasset.assets.exportComputeNetworks;cloudasset.assets.exportComputeProjects;cloudasset.assets.exportComputeRegionAutoscaler;cloudasset.assets.exportComputeRegionBackendServices;cloudasset.assets.exportComputeRegionDisk;cloudasset.assets.exportComputeRegionInstanceGroup;cloudasset.assets.exportComputeRegionInstanceGroupManager;cloudasset.assets.exportComputeRouters;cloudasset.assets.exportComputeRoutes;cloudasset.assets.exportComputeSecurityPolicy;cloudasset.assets.exportComputeSnapshots;cloudasset.assets.exportComputeSslCertificates;cloudasset.assets.exportComputeSubnetworks;cloudasset.assets.exportComputeTargetHttpProxies;cloudasset.assets.exportComputeTargetHttpsProxies;cloudasset.assets.exportComputeTargetInstances;cloudasset.assets.exportComputeTargetPools;cloudasset.assets.exportComputeTargetSslProxies;cloudasset.assets.exportComputeTargetTcpProxies;cloudasset.assets.exportComputeTargetVpnGateways;cloudasset.assets.exportComputeUrlMaps;cloudasset.assets.exportComputeVpnTunnels;cloudasset.assets.exportContainerClusterrole;cloudasset.assets.exportContainerClusterrolebinding;cloudasset.assets.exportContainerClusters;cloudasset.assets.exportContainerNamespace;cloudasset.assets.exportContainerNode;cloudasset.assets.exportContainerNodepool;cloudasset.assets.exportContainerPod;cloudasset.assets.exportContainerRole;cloudasset.assets.exportContainerRolebinding;cloudasset.assets.exportContainerregistryImage;cloudasset.assets.exportDatafusionInstance;cloudasset.assets.exportDataprocClusters;cloudasset.assets.exportDataprocJobs;cloudasset.assets.exportDnsManagedZones;cloudasset.assets.exportDnsPolicies;cloudasset.assets.exportIamPolicy;cloudasset.assets.exportIamRoles;cloudasset.assets.exportIamServiceAccountKeys;cloudasset.assets.exportIamServiceAccounts;cloudasset.assets.exportManagedidentitiesDomain;cloudasset.assets.exportOrgPolicy;cloudasset.assets.exportPubsubSubscriptions;cloudasset.assets.exportPubsubTopics;cloudasset.assets.exportResource;cloudasset.assets.exportServicePerimeter;cloudasset.assets.exportServicemanagementServices;cloudasset.assets.exportSpannerDatabases;cloudasset.assets.exportSpannerInstances;cloudasset.assets.exportSqladminInstances;cloudasset.assets.exportStorageBuckets;cloudasset.feeds.create;cloudasset.feeds.delete;cloudasset.feeds.get;cloudasset.feeds.list;cloudasset.feeds.update
roles/cloudasset.serviceAgent,bigquery.datasets.get;bigquery.jobs.create;bigquery.jobs.get;bigquery.tables.create;bigquery.tables.delete;bigquery.tables.get;bigquery.tables.updateData;pubsub.topics.publish;storage.buckets.create;storage.buckets.get;storage.buckets.getIamPolicy;storage.objects.create;storage.objects.delete;storage.objects.get
